Sum of Valeur,,
Zone,Produit,Total
Égypte,Blé,9460
,Maïs,7957
,Orge,130
,Riz (Eq Blanchi),3818
,Seigle,90
,Sorgho,762
Émirats arabes unis,Blé,0
,Maïs,1
,Orge,0
,Sorgho,54
Équateur,Avoine,1
,Blé,6
,"Céréales, Autres",1
,Maïs,1543
,Orge,21
,Riz (Eq Blanchi),1011
,Seigle,0
,Sorgho,15
États-Unis d'Amérique,Avoine,1016
,Blé,57967
,"Céréales, Autres",81
,Maïs,353699
,Millet,418
,Orge,4683
,Riz (Eq Blanchi),5745
,Seigle,195
,Sorgho,9882
Éthiopie,Avoine,60
,Blé,4039
,"Céréales, Autres",4672
,Maïs,6674
,Millet,807
,Orge,1933
,Riz (Eq Blanchi),123
,Sorgho,4338
Afghanistan,Blé,5169
,Maïs,312
,Millet,13
,Orge,514
,Riz (Eq Blanchi),342
Afrique du Sud,Avoine,28
,Blé,1870
,"Céréales, Autres",19
,Maïs,11811
,Millet,7
,Orge,268
,Riz (Eq Blanchi),3
,Seigle,2
,Sorgho,147
Albanie,Avoine,27
,Blé,294
,Maïs,372
,Orge,7
,Riz (Eq Blanchi),0
,Seigle,3
,Sorgho,0
Algérie,Avoine,113
,Blé,3299
,"Céréales, Autres",0
,Maïs,1
,Orge,1499
,Riz (Eq Blanchi),0
,Sorgho,2
Allemagne,Avoine,628
,Blé,25019
,"Céréales, Autres",2690
,Maïs,4387
,Orge,10344
,Seigle,4689
Angola,Blé,4
,Maïs,1549
,Millet,39
,Riz (Eq Blanchi),25
,Sorgho,46
Antigua-et-Barbuda,Maïs,0
Arabie saoudite,Blé,660
,Maïs,95
,Millet,4
,Orge,11
,Riz (Eq Blanchi),0
,Sorgho,110
Argentine,Avoine,445
,Blé,9315
,"Céréales, Autres",72
,Maïs,32119
,Millet,11
,Orge,4705
,Riz (Eq Blanchi),1043
,Seigle,52
,Sorgho,3636
Arménie,Avoine,5
,Blé,312
,"Céréales, Autres",17
,Maïs,21
,Orge,189
,Seigle,1
Australie,Avoine,1121
,Blé,22856
,"Céréales, Autres",177
,Maïs,507
,Millet,40
,Orge,7472
,Riz (Eq Blanchi),774
,Seigle,35
,Sorgho,2230
Autriche,Avoine,87
,Blé,1598
,"Céréales, Autres",562
,Maïs,1639
,Millet,8
,Orge,734
,Seigle,235
,Sorgho,10
Azerbaïdjan,Avoine,3
,Blé,1893
,Maïs,208
,Millet,0
,Orge,799
,Riz (Eq Blanchi),3
,Seigle,0
,Sorgho,0
Îles Salomon,Riz (Eq Blanchi),3
Bélarus,Avoine,351
,Blé,2101
,"Céréales, Autres",1339
,Maïs,1120
,Orge,1673
,Seigle,648
Bénin,"Céréales, Autres",1
,Maïs,1346
,Millet,23
,Riz (Eq Blanchi),138
,Sorgho,115
Bahamas,Maïs,1
Bangladesh,Blé,1255
,Maïs,1485
,Millet,13
,Orge,0
,Riz (Eq Blanchi),34350
,Sorgho,0
Barbade,Maïs,0
Belgique,Avoine,21
,Blé,1804
,"Céréales, Autres",58
,Maïs,827
,Orge,386
,Seigle,3
Belize,Maïs,72
,Riz (Eq Blanchi),14
,Sorgho,20
Bolivie (État plurinational de),Avoine,6
,Blé,209
,"Céréales, Autres",64
,Maïs,915
,Orge,46
,Riz (Eq Blanchi),295
,Seigle,0
,Sorgho,821
Bosnie-Herzégovine,Avoine,28
,Blé,265
,"Céréales, Autres",48
,Maïs,799
,Orge,71
,Seigle,12
Botswana,Blé,0
,"Céréales, Autres",4
,Maïs,4
,Millet,1
,Sorgho,10
Brésil,Avoine,479
,Blé,5718
,"Céréales, Autres",184
,Maïs,80538
,Orge,318
,Riz (Eq Blanchi),7843
,Seigle,4
,Sorgho,2073
Brunéi Darussalam,Riz (Eq Blanchi),1
Bulgarie,Avoine,36
,Blé,5505
,"Céréales, Autres",45
,Maïs,2739
,Millet,4
,Orge,729
,Riz (Eq Blanchi),37
,Seigle,29
,Sorgho,12
Burkina Faso,"Céréales, Autres",20
,Maïs,1585
,Millet,1079
,Riz (Eq Blanchi),204
,Sorgho,1880
Côte d'Ivoire,"Céréales, Autres",17
,Maïs,661
,Millet,50
,Riz (Eq Blanchi),1290
,Sorgho,50
Cabo Verde,Maïs,6
Cambodge,Maïs,927
,Riz (Eq Blanchi),6263
Cameroun,Blé,1
,Maïs,1647
,Millet,97
,Riz (Eq Blanchi),129
,Sorgho,1150
Canada,Avoine,3906
,Blé,37530
,"Céréales, Autres",316
,Maïs,14194
,Orge,10237
,Seigle,223
Chili,Avoine,680
,Blé,1475
,"Céréales, Autres",116
,Maïs,1519
,Orge,80
,Riz (Eq Blanchi),87
,Seigle,4
Chine - RAS de Hong-Kong,Riz (Eq Blanchi),0
"Chine, continentale",Avoine,614
,Blé,121926
,"Céréales, Autres",1248
,Maïs,218489
,Millet,1746
,Orge,1699
,Riz (Eq Blanchi),135809
,Seigle,650
,Sorgho,2892
"Chine, Taiwan Province de",Blé,4
,"Céréales, Autres",1
,Maïs,135
,Millet,1
,Orge,0
,Riz (Eq Blanchi),1063
,Sorgho,3
Chypre,Avoine,1
,Blé,15
,Orge,36
Colombie,Avoine,5
,Blé,8
,Maïs,1779
,Orge,13
,Riz (Eq Blanchi),1367
,Sorgho,44
Congo,"Céréales, Autres",2
,Maïs,14
,Millet,14
,Riz (Eq Blanchi),1
Costa Rica,Maïs,14
,Riz (Eq Blanchi),150
,Sorgho,0
Croatie,Avoine,60
,Blé,999
,"Céréales, Autres",50
,Maïs,1874
,Millet,0
,Orge,201
,Seigle,3
,Sorgho,1
Cuba,Maïs,426
,Riz (Eq Blanchi),449
,Sorgho,6
Danemark,Avoine,313
,Blé,4145
,"Céréales, Autres",109
,Maïs,76
,Orge,3950
,Seigle,527
Djibouti,Maïs,0
Dominique,Maïs,0
El Salvador,Maïs,867
,Riz (Eq Blanchi),24
,Sorgho,141
Espagne,Avoine,958
,Blé,7745
,"Céréales, Autres",472
,Maïs,4888
,Millet,1
,Orge,10005
,Riz (Eq Blanchi),585
,Seigle,384
,Sorgho,45
Estonie,Avoine,85
,Blé,407
,"Céréales, Autres",21
,Orge,441
,Seigle,22
Eswatini,Blé,1
,Maïs,119
,Riz (Eq Blanchi),0
,Sorgho,0
Fédération de Russie,Avoine,4932
,Blé,52091
,"Céréales, Autres",1451
,Maïs,11635
,Millet,419
,Orge,15389
,Riz (Eq Blanchi),624
,Seigle,3360
,Sorgho,172
Fidji,Maïs,1
,Riz (Eq Blanchi),4
,Sorgho,0
Finlande,Avoine,1197
,Blé,869
,"Céréales, Autres",69
,Orge,1904
,Seigle,26
France,Avoine,432
,Blé,38614
,"Céréales, Autres",2559
,Maïs,15031
,Millet,40
,Orge,10316
,Riz (Eq Blanchi),55
,Seigle,143
,Sorgho,279
Géorgie,Avoine,1
,Blé,81
,"Céréales, Autres",7
,Maïs,364
,Orge,35
,Seigle,0
Gabon,Maïs,45
,Riz (Eq Blanchi),1
Gambie,"Céréales, Autres",1
,Maïs,33
,Millet,94
,Riz (Eq Blanchi),46
,Sorgho,30
Ghana,Avoine,0
,Maïs,1764
,Millet,155
,Riz (Eq Blanchi),380
,Sorgho,257
Grèce,Avoine,94
,Blé,1857
,"Céréales, Autres",27
,Maïs,2260
,Millet,0
,Orge,391
,Riz (Eq Blanchi),156
,Seigle,32
,Sorgho,1
Grenade,Maïs,0
Guatemala,Blé,2
,Maïs,1732
,Orge,1
,Riz (Eq Blanchi),21
,Sorgho,42
Guinée,"Céréales, Autres",451
,Maïs,672
,Millet,214
,Riz (Eq Blanchi),1370
,Sorgho,41
Guinée-Bissau,"Céréales, Autres",2
,Maïs,7
,Millet,18
,Riz (Eq Blanchi),140
,Sorgho,27
Guyana,Maïs,4
,Riz (Eq Blanchi),549
Haïti,Maïs,336
,Riz (Eq Blanchi),113
,Sorgho,108
Honduras,Blé,1
,Maïs,599
,Riz (Eq Blanchi),33
,Sorgho,40
Hongrie,Avoine,132
,Blé,5058
,"Céréales, Autres",465
,Maïs,6756
,Millet,5
,Orge,1062
,Riz (Eq Blanchi),6
,Seigle,109
,Sorgho,14
Inde,Blé,93510
,Maïs,23290
,Millet,10910
,Orge,1750
,Riz (Eq Blanchi),106186
,Sorgho,5280
Indonésie,Maïs,18512
,Riz (Eq Blanchi),47544
Iran (République islamique d'),Blé,9304
,Maïs,1852
,Millet,10
,Orge,2812
,Riz (Eq Blanchi),1634
,Seigle,0
Iraq,Avoine,1
,Blé,4178
,Maïs,831
,Millet,6
,Orge,1003
,Riz (Eq Blanchi),301
,Sorgho,30
Irlande,Avoine,193
,Blé,545
,"Céréales, Autres",2
,Orge,1663
,Seigle,0
Israël,Avoine,0
,Blé,152
,Maïs,110
,Orge,16
,Sorgho,32
Italie,Avoine,247
,Blé,7312
,"Céréales, Autres",116
,Maïs,7900
,Orge,876
,Riz (Eq Blanchi),956
,Seigle,14
,Sorgho,317
Jamaïque,Maïs,3
,Riz (Eq Blanchi),0
Japon,Avoine,0
,Blé,812
,"Céréales, Autres",33
,Maïs,0
,Millet,0
,Orge,183
,Riz (Eq Blanchi),7176
,Seigle,0
,Sorgho,0
Jordanie,Blé,30
,Maïs,14
,Millet,0
,Orge,41
,Sorgho,18
Kazakhstan,Avoine,305
,Blé,13941
,"Céréales, Autres",360
,Maïs,569
,Millet,54
,Orge,2539
,Riz (Eq Blanchi),230
,Seigle,43
,Sorgho,0
Kenya,Avoine,4
,Blé,486
,Maïs,3391
,Millet,64
,Orge,77
,Riz (Eq Blanchi),98
,Sorgho,139
Kirghizistan,Avoine,2
,Blé,819
,"Céréales, Autres",1
,Maïs,568
,Millet,0
,Orge,310
,Riz (Eq Blanchi),18
,Seigle,0
,Sorgho,0
Koweït,Blé,0
,Maïs,20
,Orge,2
Lesotho,Avoine,0
,Blé,13
,Maïs,86
,Orge,1
,Sorgho,20
Lettonie,Avoine,134
,Blé,1435
,"Céréales, Autres",71
,Orge,233
,Seigle,76
Libéria,Riz (Eq Blanchi),180
Liban,Avoine,0
,Blé,140
,Maïs,3
,Orge,35
,Sorgho,1
Lituanie,Avoine,165
,Blé,2871
,"Céréales, Autres",529
,Maïs,127
,Orge,686
,Seigle,97
Luxembourg,Avoine,6
,Blé,91
,"Céréales, Autres",27
,Maïs,2
,Orge,42
,Seigle,5
Macédoine du Nord,Avoine,5
,Blé,259
,Maïs,135
,Millet,0
,Orge,126
,Riz (Eq Blanchi),19
,Seigle,9
,Sorgho,0
Madagascar,Blé,5
,Maïs,381
,Riz (Eq Blanchi),2408
,Sorgho,1
Malaisie,Maïs,86
,Riz (Eq Blanchi),1737
Malawi,Blé,2
,Maïs,3640
,Millet,39
,Riz (Eq Blanchi),83
,Sorgho,86
Maldives,Maïs,0
,Millet,0
,Sorgho,0
Mali,Blé,27
,"Céréales, Autres",22
,Maïs,1503
,Millet,1152
,Riz (Eq Blanchi),1475
,Sorgho,820
Malte,Blé,10
,"Céréales, Autres",0
,Orge,2
Maroc,Avoine,46
,Blé,6934
,"Céréales, Autres",2
,Maïs,118
,Millet,6
,Orge,2723
,Riz (Eq Blanchi),25
,Seigle,3
,Sorgho,5
Maurice,Maïs,1
,Riz (Eq Blanchi),0
Mauritanie,Blé,7
,Maïs,6
,Millet,4
,Orge,1
,Riz (Eq Blanchi),135
,Sorgho,91
Mexique,Avoine,91
,Blé,3357
,"Céréales, Autres",15
,Maïs,22664
,Millet,1
,Orge,594
,Riz (Eq Blanchi),120
,Seigle,0
,Sorgho,6308
Mongolie,Avoine,10
,Blé,368
,"Céréales, Autres",4
,Orge,4
Monténégro,Avoine,1
,Blé,2
,Maïs,3
,Orge,1
,Seigle,1
Mozambique,Blé,21
,Maïs,1631
,Millet,48
,Riz (Eq Blanchi),234
,Sorgho,188
Myanmar,Blé,188
,"Céréales, Autres",13
,Maïs,1700
,Millet,185
,Orge,0
,Riz (Eq Blanchi),19188
,Sorgho,215
Népal,Blé,1727
,"Céréales, Autres",10
,Maïs,1999
,Millet,306
,Orge,34
,Riz (Eq Blanchi),3005
Namibie,Blé,15
,Maïs,40
,Millet,25
,Sorgho,7
Nicaragua,Maïs,546
,Riz (Eq Blanchi),252
,Sorgho,88
Nigéria,Blé,80
,"Céréales, Autres",90
,Maïs,10400
,Millet,5000
,Riz (Eq Blanchi),3135
,Sorgho,6700
Niger,Blé,7
,"Céréales, Autres",5
,Maïs,7
,Millet,2922
,Riz (Eq Blanchi),9
,Sorgho,1320
Norvège,Avoine,224
,Blé,213
,"Céréales, Autres",0
,Orge,515
,Seigle,13
Nouvelle-Calédonie,Blé,0
,Maïs,4
,Sorgho,0
Nouvelle-Zélande,Avoine,28
,Blé,448
,"Céréales, Autres",13
,Maïs,202
,Orge,416
Oman,Blé,2
,"Céréales, Autres",1
,Orge,3
,Sorgho,42
Ouganda,Blé,20
,"Céréales, Autres",2
,Maïs,2748
,Millet,228
,Riz (Eq Blanchi),143
,Sorgho,299
Ouzbékistan,Avoine,0
,Blé,6842
,"Céréales, Autres",7
,Maïs,360
,Millet,6
,Orge,136
,Riz (Eq Blanchi),227
,Seigle,7
,Sorgho,7
Pérou,Avoine,13
,Blé,230
,"Céréales, Autres",59
,Maïs,1670
,Orge,225
,Riz (Eq Blanchi),2035
,Seigle,0
,Sorgho,0
Pakistan,Blé,24231
,Maïs,4527
,Millet,301
,Orge,67
,Riz (Eq Blanchi),6767
,Sorgho,119
Panama,Maïs,132
,Riz (Eq Blanchi),192
,Sorgho,5
Paraguay,Blé,1430
,Maïs,4120
,Riz (Eq Blanchi),412
,Sorgho,105
Pays-Bas,Avoine,10
,Blé,1335
,"Céréales, Autres",10
,Maïs,185
,Orge,208
,Seigle,7
Philippines,Maïs,7377
,Riz (Eq Blanchi),12299
,Sorgho,1
Pologne,Avoine,1190
,Blé,9485
,"Céréales, Autres",7404
,Maïs,4040
,Millet,44
,Orge,2934
,Seigle,3359
Portugal,Avoine,37
,Blé,92
,"Céréales, Autres",47
,Maïs,930
,Millet,0
,Orge,33
,Riz (Eq Blanchi),120
,Seigle,18
République centrafricaine,Maïs,145
,Millet,12
,Riz (Eq Blanchi),25
,Sorgho,47
République démocratique populaire lao,Maïs,1214
,Riz (Eq Blanchi),2278
République de Corée,Blé,19
,"Céréales, Autres",15
,Maïs,80
,Millet,1
,Orge,60
,Riz (Eq Blanchi),3756
,Seigle,0
,Sorgho,3
République de Moldova,Avoine,3
,Blé,1009
,"Céréales, Autres",2
,Maïs,1419
,Millet,0
,Orge,219
,Seigle,2
,Sorgho,0
République dominicaine,Maïs,45
,Riz (Eq Blanchi),550
,Sorgho,4
République populaire démocratique de Corée,Avoine,21
,Blé,75
,Maïs,2002
,Millet,82
,Orge,30
,Riz (Eq Blanchi),1935
,Seigle,82
,Sorgho,40
République-Unie de Tanzanie,Blé,104
,"Céréales, Autres",46
,Maïs,5356
,Millet,323
,Orge,11
,Riz (Eq Blanchi),1464
,Sorgho,832
Roumanie,Avoine,374
,Blé,7296
,"Céréales, Autres",251
,Maïs,11305
,Millet,6
,Orge,1542
,Riz (Eq Blanchi),36
,Seigle,24
,Sorgho,50
Royaume-Uni,Avoine,964
,Blé,11921
,"Céréales, Autres",72
,Maïs,0
,Orge,7092
,Seigle,35
Rwanda,Blé,70
,Maïs,668
,Millet,9
,Orge,0
,Riz (Eq Blanchi),63
,Sorgho,157
Sénégal,"Céréales, Autres",3
,Maïs,226
,Millet,515
,Riz (Eq Blanchi),291
,Sorgho,92
Sainte-Lucie,Maïs,0
Saint-Vincent-et-les Grenadines,Maïs,1
,Riz (Eq Blanchi),0
Sao Tomé-et-Principe,Maïs,1
Serbie,Avoine,88
,Blé,2690
,"Céréales, Autres",95
,Maïs,5864
,Millet,0
,Orge,362
,Seigle,13
,Sorgho,10
Sierra Leone,"Céréales, Autres",9
,Maïs,40
,Millet,42
,Riz (Eq Blanchi),837
,Sorgho,30
Slovénie,Avoine,3
,Blé,138
,"Céréales, Autres",18
,Maïs,227
,Millet,0
,Orge,69
,Seigle,5
Slovaquie,Avoine,31
,Blé,1684
,"Céréales, Autres",40
,Maïs,1123
,Millet,1
,Orge,446
,Seigle,86
,Sorgho,1
Soudan,Blé,265
,Maïs,43
,Millet,359
,Riz (Eq Blanchi),17
,Sorgho,4524
Sri Lanka,Maïs,209
,Millet,7
,Riz (Eq Blanchi),3082
,Sorgho,0
Suède,Avoine,852
,Blé,1869
,"Céréales, Autres",183
,Orge,1940
,Seigle,142
Suisse,Avoine,8
,Blé,480
,"Céréales, Autres",51
,Maïs,124
,Millet,0
,Orge,165
,Seigle,10
Suriname,Maïs,0
,Riz (Eq Blanchi),175
Tadjikistan,Avoine,3
,Blé,947
,"Céréales, Autres",0
,Maïs,175
,Millet,0
,Orge,124
,Riz (Eq Blanchi),52
,Seigle,0
,Sorgho,1
Tchéquie (la),Avoine,139
,Blé,4701
,"Céréales, Autres",231
,Maïs,675
,Millet,2
,Orge,1594
,Seigle,176
Tchad,Blé,32
,"Céréales, Autres",482
,Maïs,390
,Millet,582
,Riz (Eq Blanchi),220
,Sorgho,745
Thaïlande,Blé,2
,"Céréales, Autres",254
,Maïs,5063
,Orge,95
,Riz (Eq Blanchi),24054
,Sorgho,57
Timor-Leste,Maïs,101
,Riz (Eq Blanchi),58
Togo,"Céréales, Autres",4
,Maïs,693
,Millet,64
,Riz (Eq Blanchi),64
,Sorgho,285
Trinité-et-Tobago,Maïs,4
,Riz (Eq Blanchi),2
Tunisie,Avoine,2
,Blé,975
,"Céréales, Autres",61
,Orge,289
,Sorgho,1
Turkménistan,Avoine,0
,Blé,1300
,Maïs,16
,Orge,75
,Riz (Eq Blanchi),67
,Seigle,0
,Sorgho,0
Turquie,Avoine,235
,Blé,22100
,"Céréales, Autres",119
,Maïs,5900
,Millet,6
,Orge,7900
,Riz (Eq Blanchi),600
,Seigle,365
,Sorgho,0
Ukraine,Avoine,467
,Blé,22279
,"Céréales, Autres",189
,Maïs,30950
,Millet,102
,Orge,7562
,Riz (Eq Blanchi),97
,Seigle,638
,Sorgho,354
Uruguay,Avoine,48
,Blé,1533
,"Céréales, Autres",4
,Maïs,693
,Orge,200
,Riz (Eq Blanchi),907
,Sorgho,209
Vanuatu,Maïs,1
Venezuela (République bolivarienne du),Blé,0
,Maïs,2045
,Riz (Eq Blanchi),583
,Sorgho,401
Viet Nam,Maïs,5191
,Millet,2
,Riz (Eq Blanchi),29374
Yémen,Blé,232
,Maïs,75
,Millet,83
,Orge,34
,Sorgho,439
Zambie,Blé,274
,Maïs,2533
,Millet,24
,Orge,10
,Riz (Eq Blanchi),30
,Sorgho,15
Zimbabwe,Avoine,1
,Blé,25
,"Céréales, Autres",2
,Maïs,799
,Millet,55
,Orge,60
,Riz (Eq Blanchi),0
,Sorgho,69
Grand Total,,2523345
